,AAPL,PETS,STMP,VZ,SO,T,FXY,FXB,FXF,VCLT
2016-08-02,98.76113891601562,18.244583129882812,77.3499984741211,46.15822982788086,45.20578384399414,35.594093322753906,95.80999755859375,130.42999267578125,99.41999816894531,81.90380859375
2016-08-03,99.99942779541016,18.050399780273438,78.0,46.07274627685547,44.9346809387207,35.57759475708008,95.48999786376953,130.11000061035156,98.54000091552734,81.88648986816406
2016-08-04,100.6171875,18.08603858947754,78.66999816894531,46.09839630126953,45.03634262084961,35.52812194824219,95.52999877929688,128.33999633789062,98.45999908447266,82.55349731445312
2016-08-05,102.14730072021484,18.317684173583984,82.06999969482422,45.850502014160156,44.59580993652344,35.594093322753906,94.94999694824219,127.76000213623047,97.79000091552734,82.04243469238281
2016-08-08,102.99313354492188,18.29095458984375,81.2699966430664,45.807762145996094,44.63816833496094,35.40441131591797,94.31999969482422,127.41999816894531,97.55999755859375,82.24166870117188
2016-08-09,103.41129302978516,18.21967887878418,83.87000274658203,45.86760330200195,44.76524353027344,35.52812194824219,94.77999877929688,127.05999755859375,97.6500015258789,82.93464660644531
2016-08-10,102.64149475097656,18.26422691345215,82.73999786376953,45.99582290649414,44.79914093017578,35.6270751953125,95.41999816894531,127.12999725341797,98.3499984741211,83.32444763183594
2016-08-11,102.57495880126953,18.317684173583984,86.61000061035156,46.03854751586914,44.79914093017578,35.783775329589844,94.86000061035156,126.6500015258789,98.33000183105469,82.8913345336914
2016-08-12,102.81255340576172,18.175132751464844,86.87000274658203,45.85905456542969,44.82482147216797,35.69305419921875,95.44999694824219,126.1500015258789,98.33999633789062,83.44573211669922
2016-08-15,104.0480728149414,18.10385513305664,87.06999969482422,45.82486343383789,44.08843994140625,35.478641510009766,95.41999816894531,125.83999633789062,98.54000091552734,83.055908203125
2016-08-16,103.9530258178711,17.845483779907227,86.87999725341797,45.09829330444336,43.63462829589844,34.60445022583008,96.36000061035156,127.43000030517578,99.5999984741211,82.82205200195312
2016-08-17,103.80094909667969,17.756389617919922,87.1500015258789,45.44875717163086,44.07131576538086,34.5219841003418,96.4000015258789,127.33999633789062,99.55999755859375,83.27245330810547
2016-08-18,103.66790771484375,17.854394912719727,87.0199966430664,45.192325592041016,44.79057312011719,34.14262008666992,96.69000244140625,128.67999267578125,100.48999786376953,83.44573211669922
